station_id,station_name,latitude,longitude
3858,Kent St & McGuinness Blvd,40.73124,-73.95161
3734,E 58 St &  1 Ave (NW Corner),40.759125,-73.962658
486,Broadway & W 29 St,40.7462009,-73.98855723
3472,W 15 St & 10 Ave,40.74275382865903,-74.00747358798981
3134,3 Ave & E 62 St,40.76312584,-73.96526895
462,W 22 St & 10 Ave,40.74691959,-74.00451887
476,E 31 St & 3 Ave,40.74394314,-73.97966069
3562,Classon Ave & St Marks Ave,40.6765198,-73.9596082
2003,1 Ave & E 18 St,40.73381219196632,-73.98054420948029
3440,Fulton St & Adams St,40.69241829257847,-73.98949474096298
3671,E 81 St & 2 Ave,40.77477944895728,-73.95427465438843
325,E 19 St & 3 Ave,40.73624527,-73.98473765
3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
3108,Nassau Ave & Russell St,40.72557,-73.94434
3417,Baltic St & 5 Ave,40.6795766,-73.97854971
3246,Montague St & Clinton St,40.694281141397326,-73.99230033159256
3241,Monroe St & Tompkins Ave,40.686203,-73.944694
418,Front St & Gold St,40.70224,-73.982578
528,2 Ave & E 31 St,40.74290902,-73.97706058
3357,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472
3537,Carlton Ave & Dean St,40.6809741,-73.9710097
3778,Irving Ave & DeKalb Ave,40.7027,-73.92095
3570,35 Ave & 37 St,40.7557327,-73.9236611
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
3662,31 Ave & Steinway St,40.761293897289086,-73.916916847229
3799,6 Ave & W 34 St,40.74964,-73.98805
257,Lispenard St & Broadway,40.71939226,-74.00247214
3546,Pacific St & Classon Ave,40.6791944,-73.9587903
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284
336,Sullivan St & Washington Sq,40.73047747,-73.99906065
3402,Court St & State St,40.6902375,-73.99203074
3892,38 Ave & 29 St,40.75473,-73.93367
401,Allen St & Rivington St,40.72019576,-73.98997825
3547,Broadway & Moylan Pl,40.8143256,-73.9590255
3067,Broadway & Whipple St,40.7016657,-73.9437303
217,Old Fulton St,40.70277159,-73.99383605
3156,E 72 St & York Ave,40.76663814,-73.95348296
317,E 6 St & Avenue B,40.72453734,-73.98185424
3862,Linden St & Knickerbocker Ave,40.69714,-73.91566
460,S 4 St & Wythe Ave,40.71285887,-73.96590294
3526,31 St & 23 Ave,40.7747878,-73.9125551
3453,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077
385,E 55 St & 2 Ave,40.75797322,-73.96603308
3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667
453,W 22 St & 8 Ave,40.74475148,-73.99915362
3092,Berry St & N 8 St,40.7190095,-73.95852515
3693,N 11 St & Kent Ave,40.72248188638219,-73.95921930670738
367,E 53 St & Lexington Ave,40.75828065,-73.97069431
522,E 51 St & Lexington Ave,40.75714758,-73.97207836
3365,3 St & 7 Ave,40.6703837,-73.97839676
3435,Grand St & Elizabeth St,40.718822,-73.99596
3083,Bushwick Ave & Powers St,40.71247661,-73.94100005
3744,1 Ave & E 5 St,40.725864,-73.986389
383,Greenwich Ave & Charles St,40.735238,-74.000271
3301,Columbus Ave & W 95 St,40.7919557,-73.968087
349,Rivington St & Ridge St,40.71850211,-73.98329859
508,W 46 St & 11 Ave,40.76341379,-73.99667444
3884,Centre St & Seneca Ave,40.69969,-73.9022
491,E 24 St & Park Ave S,40.74096374,-73.98602213
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558
3850,Jefferson St & Cypress Ave,40.70907,-73.92157
3085,Roebling St & N 4 St,40.71469,-73.95739
3376,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505
305,E 58 St & 3 Ave,40.76095756,-73.96724467
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712
